id,price
0,2885.621
1,5719.038
2,9381.066
3,3995.4258
4,1616.6282
5,6117.7056
6,4842.0796
7,4323.3994
8,5284.107
9,14908.814
10,4559.93
11,772.9484
12,3054.86
13,1591.1116
14,2501.107
15,1134.6401
16,1553.7784
17,3954.7913
18,4133.5635
19,879.8879
20,2132.232
21,5086.4785
22,4186.713
23,627.6543
24,17180.545
25,1104.4254
26,612.1798
27,1040.7562
28,1631.3762
29,847.7145
30,10853.084
31,560.7171
32,4062.976
33,697.2901
34,675.36005
35,2439.0354
36,6639.3276
37,2636.142
38,2848.1436
39,717.18585
40,520.96844
41,8972.696
42,875.75714
43,1739.532
44,10365.079
45,2528.9346
46,1002.4482
47,822.3123
48,1212.4736
49,2862.1592
50,684.13446
51,4589.911
52,2916.0496
53,7230.9233
54,5551.8354
55,2143.4238
56,9183.677
57,2418.745
58,4378.275
59,2867.2207
60,1226.192
61,539.0679
62,6855.5674
63,1082.1566
64,8676.63
65,17397.236
66,882.5108
67,11828.694
68,5299.131
69,9417.906
70,450.46973
71,675.29224
72,799.28394
73,1302.9806
74,5236.643
75,1868.4673
76,8743.849
77,14365.268
78,2786.2883
79,6482.2153
80,11117.001
81,2018.6885
82,14451.956
83,6693.288
84,886.7711
85,7370.696
86,1012.80554
87,12395.848
88,8548.073
89,14307.543
90,5056.2334
91,1324.959
92,995.5597
93,871.42883
94,16285.8125
95,564.03625
96,14394.051
97,14549.814
98,12373.47
99,701.8274
100,2523.2505
101,726.9995
102,637.4812
103,452.90225
104,1110.8297
105,1688.0175
106,1352.0499
107,753.0978
108,1083.7712
109,713.6055
110,633.3231
111,1056.2349
112,1861.0038
113,1676.5471
114,1533.9789
115,5097.4673
116,5159.244
117,15870.68
118,477.7587
119,17102.152
120,1317.418
121,1644.3529
122,1100.669
123,569.9163
124,688.5483
125,1298.8486
126,1141.9976
127,13108.371
128,5545.1387
129,5089.3057
130,6421.767
131,3247.1462
132,6784.156
133,1043.8253
134,3453.5916
135,1076.8694
136,615.94574
137,7084.8774
138,576.35474
139,4349.4434
140,879.13434
141,895.85394
142,3506.259
143,4117.518
144,724.6607
145,6165.3945
146,16674.84
147,5106.66
148,2598.2283
149,1865.6896
150,2480.6829
151,1728.5414
152,12159.114
153,2833.206
154,593.54565
155,14777.069
156,3460.4998
157,2906.2258
158,3922.545
159,922.414
160,7519.927
161,10040.692
162,704.58844
163,641.70374
164,5322.467
165,11240.506
166,3215.1587
167,4605.286
168,3355.2751
169,10303.526
170,752.85815
171,1631.965
172,4734.995
173,2123.0068
174,6317.2583
175,1815.3912
176,4468.5986
177,3596.3242
178,2606.4885
179,3401.8965
180,3481.0544
181,1654.6943
182,942.27795
183,1613.0667
184,744.4426
185,4013.948
186,948.3327
187,894.0689
188,504.4506
189,1825.1511
190,2321.7327
191,733.1697
192,818.4309
193,6311.206
194,4016.4326
195,2494.758
196,657.39124
197,12886.034
198,632.92755
199,8984.445
200,10068.384
201,6304.826
202,711.00446
203,784.67395
204,6475.9336
205,3647.6206
206,632.3456
207,2975.3843
208,950.83044
209,8253.289
210,2672.7485
211,7142.91
212,11107.379
213,457.581
214,1185.7493
215,921.1271
216,2598.3345
217,2593.45
218,863.24396
219,1286.2461
220,2164.341
221,2072.1667
222,9193.8125
223,1045.7877
224,1204.6841
225,4494.915
226,3554.709
227,1913.1354
228,6539.5166
229,1891.4043
230,5141.2456
231,1459.0531
232,1172.2609
233,1591.0713
234,887.92255
235,8615.543
236,1249.5161
237,937.5473
238,4282.931
239,8573.498
240,5963.4004
241,866.7625
242,15073.998
243,4483.137
244,493.00293
245,981.84674
246,2555.741
247,7340.988
248,10621.312
249,5520.8916
250,5382.7354
251,1511.5337
252,2761.4028
253,5136.309
254,5129.5117
255,1345.9524
256,661.68854
257,1986.8092
258,822.9033
259,14921.1045
260,6382.498
261,4761.777
262,1783.1854
263,3761.2637
264,770.1332
265,2285.9521
266,8375.795
267,1780.5931
268,1032.7244
269,8819.633
270,7635.575
271,783.5218
272,4399.758
273,5087.0938
274,473.1467
275,933.586
276,6298.3403
277,575.41156
278,6730.1426
279,8500.452
280,1582.4438
281,2717.8904
282,4029.269
283,9043.972
284,8906.721
285,11231.62
286,5088.7144
287,16278.13
288,1742.7009
289,6131.699
290,389.99548
291,8618.812
292,17261.137
293,864.4925
294,7542.5093
295,1780.4733
296,2196.377
297,710.4428
298,347.8153
299,5587.743
300,2244.9226
301,1140.8447
302,3700.9373
303,5783.4194
304,5804.4507
305,8511.15
306,1048.0364
307,1031.9169
308,1773.58
309,2129.8186
310,1791.5399
311,453.59348
312,7779.234
313,5154.2
314,2416.944
315,10422.491
316,704.7224
317,1076.9055
318,881.8838
319,8109.2124
320,5049.79
321,558.41907
322,446.4174
323,521.49927
324,898.0439
325,5552.318
326,1624.5425
327,1795.9995
328,6534.394
329,590.87427
330,17562.598
331,2262.7954
332,839.3656
333,8659.865
334,3489.8752
335,1828.3018
336,14723.727
337,899.1972
338,928.75586
339,6047.1333
340,689.51355
341,1596.0822
342,630.15967
343,4566.775
344,4442.6714
345,1738.1141
346,671.834
347,2551.6777
348,4881.856
349,799.40875
350,3278.7058
351,486.67953
352,2568.8252
353,1967.3962
354,646.5341
355,1510.5222
356,756.94025
357,11543.41
358,1473.7134
359,490.08743
360,970.5218
361,8168.7446
362,630.844
363,8816.285
364,3617.3113
365,665.37103
366,676.958
367,4535.63
368,1731.5015
369,654.96875
370,647.9588
371,759.4425
372,6360.3525
373,891.69806
374,444.93546
375,909.9319
376,714.4647
377,4285.288
378,2761.3472
379,652.02875
380,4570.573
381,529.8107
382,701.33
383,9854.289
384,1103.1985
385,765.13367
386,16128.581
387,12197.406
388,806.045
389,762.03064
390,2651.467
391,840.1741
392,8561.133
393,640.4697
394,1982.8994
395,4789.9907
396,779.75183
397,2026.0145
398,1040.6716
399,2257.724
400,5037.9927
401,631.66315
402,2553.9475
403,10674.465
404,1319.5872
405,1083.1056
406,638.36224
407,17696.963
408,2051.4553
409,5808.7617
410,863.8778
411,702.23895
412,4336.2847
413,1464.3683
414,7123.922
415,791.981
416,1365.6759
417,7728.7725
418,345.8367
419,4873.316
420,13626.985
421,4312.012
422,4983.6846
